"SiteID","Country","City","Location","Latitude","Longitude","Population","Institution","Website"
"AT001","AT","Graz","ARA Graz","47.070713","15.439504",475333,"Medical University Innsbruck","N/A"
"AT002","AT","Hall-Wattens","Abwasserverband Hall in Tirol-Fritzens","47.29168","11.59284",70353,"Medical University Innsbruck","N/A"
"AT004","AT","Innsbruck","ARA-Innsbruck","47.269212","11.404102",266478,"Medical University Innsbruck","N/A"
"AT005","AT","Kapfenberg","Kläranlage Kapfenberg","47.443562","15.2901",37058,"Medical University Innsbruck","N/A"
"AT006","AT","Klagenfurt","N/A","46.635700","14.311817",207812,"Medical University Innsbruck","N/A"
"AT008","AT","Knittelfeld","N/A","47.215950","14.827190",42632,"Medical University Innsbruck","N/A"
"AT009","AT","Korneuburg","N/A","48.34472","16.33149",38121,"Medical University Innsbruck","N/A"
"AT010","AT","Kufstein","Abwasserverband Kufstein","47.582958","12.17077",44537,"Medical University Innsbruck","N/A"
"AT013","AT","Purgstall","GAV Erlauftal","48.057812","15.13545",8681,"Medical University Innsbruck","N/A"
"AT011","AT","Region Millstättersee","Wasserverband Millstaettersee","46.81924","13.52146",60745,"Medical University Innsbruck","N/A"
"AT014","AT","Salzburg","N/A","47.811195","13.033229",458527,"Medical University Innsbruck","N/A"
"AT015","AT","Steyr","N/A","48.050090","14.418270",99164,"Medical University Innsbruck","N/A"
"AT016","AT","Strass im Zillertal","AIZ Abwasserverband","47.395748","11.82211",123102,"Medical University Innsbruck","N/A"
"AT003","AT","Wasserverband Hofsteig","ARA Hofsteig","47.4852","9.6762",99818,"Medical University Innsbruck","N/A"
"AT017","AT","Wien","N/A","48.210033","16.363449",2974265,"Medical University Innsbruck","N/A"
"AT018","AT","Wiener Neustadt","N/A","47.802790","16.233180",149821,"Medical University Innsbruck","N/A"
"AT019","AT","Wildon","N/A","46.885708","15.518532",76347,"Medical University Innsbruck","N/A"
"BE002","BE","Antwerp Zuid","Antwerpen-Zuid","51.2","4.39",130218,"Toxicological Centre","N/A"
"BE005","BE","Brussels","Brussel-Noord","50.86","4.36",953987,"Toxicological Centre","N/A"
"CH001","CH","Basel","ARA Basel","47.56","7.59",273075,"Ecole des Sciences Criminelles, University of Lausanne","N/A"
"CH002","CH","Berne","ARA Bern","46.83","7.62",224557,"Ecole des Sciences Criminelles, University of Lausanne","N/A"
"CH003","CH","Geneva","STEP SIG","46.2","6.17",454433,"Ecole des Sciences Criminelles, University of Lausanne","N/A"
"CH008","CH","Zurich","Werdhölzli","47.37","8.51",471275,"Ecole des Sciences Criminelles, University of Lausanne","N/A"
"CY001","CY","Agia Napa","Sewage treatment plant of Agia Napa-Paralimni","34.99075444704176","33.9999814169353",48201,"Nireas IWRC","N/A"
"CY002","CY","Larnaca","Sewage Bioard of Larnaca","34.915164353041064","33.6361988334665",92442,"Nireas IWRC","N/A"
"CY003","CY","Limassol","Sewerage Board of Limassol-Amathus (SBLA)","34.69","33.02",239936,"Nireas IWRC","N/A"
"CY005","CY","Nicosia (2)","Sewage treatment plant of Pano Deftera (Anthoupoli)-Sewerage Board of Nicosia; Sewage treatment plant of Vathia Gonia-Sewerage Board of Nicosia","35.17","33.4",94602,"N/A","N/A"
"CY007","CY","Paphos","Sewage Borad of Pafos","34.775853627551825","32.4215949998929",132836,"Nireas IWRC","N/A"
"CZ001","CZ","Brno","Waterworks and sewage of city Brno","49.19506","16.606837",445000,"FFPW, USB","N/A"
"CZ002","CZ","České Budějovice","UCOV CB","48.96","14.46",110000,"FFPW, USB","N/A"
"CZ003","CZ","Karlovy Vary","COV Karloy Vary","50.23204","12.87099",67544,"T. G. Masaryk Water Resesrch institute, p. r. i., Prague","N/A"
"CZ004","CZ","Ostrava","UCOV Ostrava","49.833864","18.281034",250000,"T. G. Masaryk Water Resesrch institute, p. r. i., Prague","N/A"
"CZ005","CZ","Prague (2)","UCOV Praha","50.08","14.43",1212000,"South Bohemian Research Center of Aquaculture and Biodiversity of Hydrocenoses, University of South Bohemia in Ceske Budejovice","www.frov.jcu.cz/en/"
"DE001","DE","Berlin (4)","Berlin 4 plants","52.52","13.4",3993500,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DE008","DE","Chemnitz","Chemnitz","50.827845","12.92137",239402,"Clinical Pharmacology TU Dresden","N/A"
"DE009","DE","Dortmund","Deusen","51.52","7.46",399700,"Clinical Pharmacology TU Dresden","N/A"
"DE010","DE","Dresden","Dresden-Kaditz","51.05089","13.73832",671806,"Clinical Pharmacology TU Dresden","N/A"
"DE011","DE","Dülmen","Dülmen","51.84","7.28",34733,"Clinical Pharmacology TU Dresden","N/A"
"DE012","DE","Erfurt","Erfurt","50.984768","11.02988",215323,"Clinical Pharmacology TU Dresden","N/A"
"DE023","DE","Magdeburg","N/A","52.120533","11.627624",278000,"Clinical Pharmacology TU Dresden","N/A"
"DE026","DE","Munich Gut Großlappen","Gut_Grosslappen","48.14","11.58",1156000,"Clinical Pharmacology TU Dresden","N/A"
"DE028","DE","Nuremberg","Nürnberg","49.452102","11.076665",445593,"Clinical Pharmacology TU Dresden","N/A"
"DE030","DE","Saarbrücken (2)","Saarbrucken 2 plants","49.240157","6.996933",203643,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DK001","DK","Copenhagen","Lynetten","55.69","12.62",685000,"Department of forensic medicine, University of Copenhagen","N/A"
"EE001","EE","Kohtla-Järve (2)","N/A","59.397474","27.279751",47325,"N/A","N/A"
"EE005","EE","Tallinn","N/A","59.436962","24.753574",480000,"Forensic Science Institute","N/A"
"ES001","ES","Barcelona","Baix Llobregat","41.43","1.97",1185619,"IDAEA-CSIC","N/A"
"ES002","ES","Castellon","EDAR Castellón","40.23","-0.12",178141,"UJI","N/A"
"ES003","ES","Lleida","N/A","41.617592","0.620015",146354,"IDAEA-CSIC","N/A"
"ES006","ES","Santiago","Silvouta","42.88","-8.54",136500,"IAQBUS","N/A"
"ES007","ES","Tarragona","Tarragona","41.11901451164164","1.24570728603803",115567,"URV","N/A"
"FI001","FI","Espoo","Suomenoja","60.16","24.71",390000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI002","FI","Hämeenlinna","Paroinen","60.99601","24.46423",67000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI003","FI","Helsinki","Viikinmäki","60.23","24.99",860000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI004","FI","Joensuu","Kuhasalo","62.58","29.73",82667,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI005","FI","Jyväskylä","Nenäinniemi","62.21","25.77",155000,"National Institute for Health and Welfare (THL)","N/A"
"FI006","FI","Kajaani","Peuraniemi","64.227","27.7285",33714,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI007","FI","Kemi","Peurasaari","65.73609","24.56363",25000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI008","FI","Kokkola","Hopeakivenlahti","63.83848","23.13048",36000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI009","FI","Kotka","Mussalo","60.45","26.89",72500,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI010","FI","Kouvola","Mäkikylä","60.8679","26.70405",70000,"National Institute for Health and Welfare (THL)","N/A"
"FI011","FI","Kuopio","Lehtoniemi","62.96","27.01",90697,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI012","FI","Lahti","Kariniemi","60.99","25.65",63000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI013","FI","Lappeenranta","Toikansuo","60.93","27.3",60000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI014","FI","Mariehamn","Lotsbroverket","60.09693","19.93482",20000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI015","FI","Mikkeli","Kenkäveronniemi","61.68852","27.27217",48626,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI016","FI","Oulu","Taskila","65.05","25.41",200526,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI017","FI","Pietarsaari","Alheda","63.67486","22.70256",41100,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI018","FI","Pori","Luotsinmäki","61.48519","21.79746",114000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI019","FI","Rauma","Maanpäänniemi","61.12724","21.51127",40000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI020","FI","Rovaniemi","Alakorkalo","66.5","25.72",55000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI021","FI","Salo","Salo","60.38333","23.13333",34400,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI022","FI","Savonlinna","Pihlajaniemi","61.86","28.85",24000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI023","FI","Seinäjoki","Seinäjoki","62.79446","22.82822",55000,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI024","FI","Tampere","Viinikanlahti","61.49","23.77",2e+05,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI025","FI","Turku","Kakolanmäki","60.44","22.24",3e+05,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI026","FI","Vaasa","Patt","63.1","21.62",69252,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"FI027","FI","Vihti","Nummela","60.41699","24.31965",17500,"Forensic Chemistry Unit / Finnish Institute for Health and Welfare","N/A"
"GB001","GB","Bristol","Avonmouth","51.503457","-2.698444",890154,"University of Bath","N/A"
"GR001","GR","Athens","City of Athens WWTP","37.9928017","23.7658005",3700000,"National and Kapodistrian University of Athens","N/A"
"HR001","HR","Zagreb","Central wastewater treatment plant of the city of Zagreb","45.7929993","15.9463997",650000,"Laboratory for analytical chemistry and biogeochemistry of organic compounds","N/A"
"IT001","IT","Bozen","Kläranlage Bozen","46.49672","11.358",282747,"Medical University Innsbruck","N/A"
"IT002","IT","Milan","Nosedo","45.4337997","9.2213602",1034715,"Istituto Mario negri","N/A"
"LT001","LT","Kaunas","Kaunas","54.89687","23.89243",291333,"Toxicological Centre","N/A"
"LT002","LT","Klaipeda","Klaipeda","55.78282","21.49279",387400,"Toxicological Centre","N/A"
"LT003","LT","Vilnius","Vilniaus vandenys","54.687156","25.279651",576727,"Toxicological Centre","N/A"
"LV001","LV","Riga","Riga","56.94965","24.105186",619703,"Toxicological Centre","N/A"
"NL001","NL","Amsterdam","RWZI Amsterdam-WEST","52.375","4.8666668",669917,"KWR","https://www.kwrwater.nl/en/"
"NL005","NL","Utrecht","RWZI Utrecht","52.0858002","5.1308398",267739,"KWR","https://www.kwrwater.nl/en/"
"PL003","PL","Krakow P","Krakow Plaszow","50.06","19.94",680000,"Istituto Mario Negri","N/A"
"PT001","PT","Almada","Mutela","38.675187","-9.154345",138685,"INMLCF","N/A"
"PT002","PT","Lisbon","Alcântara","38.7044907","-9.1754999",426964,"INMLCF","N/A"
"PT003","PT","Porto","N/A","41.157944","-8.629105",150000,"USC","N/A"
"SE001","SE","Gävle","Duvbacken","60.674622","17.14183",90114,"RISE","N/A"
"SE003","SE","Sandviken","Hedåsen ARV","60.61667","16.76667",27000,"RISE","N/A"
"SE009","SE","Växjö","N/A","56.858257","14.761215",75512,"RISE","N/A"
"SI001","SI","Domžale-Kamnik","Domžale-Kamnik","46.13788","14.59384",77981,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI002","SI","Koper","Central wastewater treatment plant Koper","45.548058","13.730188",49843,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI003","SI","Kranj","N/A","46.242834","14.355542",70000,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI004","SI","Ljubljana","Central wastewater treatment plant Ljubljana","46.056947","14.505751",270305,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI005","SI","Maribor","Maribor","46.55734","15.64591",129000,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI006","SI","Novo mesto","Wastewater treatment plant Novo mesto","45.804211","15.16969",25414,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SI007","SI","Velenje","Central wastewater treatment plant Šaleške Doline (Šalek Valley)","46.362274","15.110658",32583,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"SK002","SK","Bratislava C","Central","48.14925","17.106991",450000,"FFPW, USB","N/A"
"SK004","SK","Piestany","N/A","48.5918007","17.8019009",30000,"FFPW, USB","N/A"
"TR003","TR","Istanbul (II-VII)","Istanbul (II-VII)","41.013","28.9748",16525000,"Forensic Toxicology Labs. Institute of Forensic Sciences and Legal Medicine, Istanbul University-Cerrahpasa","https://adlitip.istanbulc.edu.tr/tr/_"
"ES008","ES","Valencia (3)","Valencia 3 plants","39.46","-0.33",1471771,"Research Institute for Pesticides and Water, University Jaume I","www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/"
"IS002","IS","Reykjavik Klettagarðar","Klettagarðar","64.126521","-21.817439",107000,"Department of Pharmacology and Toxicology, University of Iceland","http://english.hi.is/"
"NL002","NL","Eindhoven","RWZI Eindhoven","51.4421082","5.4800701",457153,"KWR","https://www.kwrwater.nl/en/"
"TR001","TR","Adana","Seyhan","36.991421","35.33083",1159215,"Adana- Lab139","N/A"
"CH007","CH","St. Gallen Hofen","St. Gallen Hofen","47.42","9.38",37876,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management","N/A"
"DK002","DK","Odense","Ejby Mølle","55.40132682133402","10.3875142603132",160000,"N/A","N/A"
"FR005","FR","Paris Seine Centre","Seine Centre","48.95","2.27",659184,"Faculty of Pharmacy, University Paris Sud","www.lspe.u-psud.fr/"
"NO001","NO","Oslo","VEAS","59.9156914","10.857625",612499,"Norwegian Institute for Water Research (NIVA)","www.niva.no/en"
"SE004","SE","Söderhamn","Granskär ARV","61.30373","17.05921",14500,"RISE Research Institutes of Sweden","https://www.ri.se/en"
"SE005","SE","Stockholm (2)","Henriksdal 1 and Sicklainloppet","59.329323","18.068581",860800,"N/A","N/A"
"SE008","SE","Uppsala","Site 1","59.858562","17.638927",2e+05,"N/A","N/A"
"EE004","EE","Narva","AS Narva Vesi","59.37498914608224","28.1922153733092",57212,"N/A","N/A"
"EE006","EE","Tartu","AS Tartu Veevärk","58.37701748878817","26.7297981416611",1e+05,"N/A","N/A"
"BE003","BE","Boom","Boom","51.08608","4.36633",30600,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"DE017","DE","Hamburg (2)","Hamburg 2 plants","53.551085","9.993682",2050000,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"RS002","RS","Novi Sad","N/A","45.3039017","19.8267002",310312,"Faculty of Technical Sciences, University of Novi Sad","http://www.uns.ac.rs/index.php/en/"
"GR002","GR","Eleusis","City of eleusis WWTP","38.323372","23.31678",25000,"N/A","N/A"
"AT012","AT","Mürzzuschlag","Kläranlage Langenwang","47.566639","15.6182",30200,"N/A","https://biomassspec.gmi.tirol/"
"BE007","BE","Koksijde","Wulpen","51.1","2.7",78441,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE010","BE","Oostende","Oostende","51.21543","2.928656",159000,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"ES004","ES","Madrid VdlV","Viveros de la Villa","40.41669","-3.70035",440800,"Research Institute for Pesticides and Water, University Jaume I","www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/"
"FR003","FR","Bordeaux I","Louis Fargue","44.837789   ","-0.58",254338,"Faculty of Pharmacy, University Paris Sud","www.lspe.u-psud.fr/"
"GB002","GB","London","Beckton","51.53","0.05",3400000,"Analytical & Environmental Sciences Division, King's College London, UK","http//www.kcl.ac.uk"
"BE004","BE","Brugge","Brugge","51.20942","3.2252",3e+05,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"FR006","FR","Paris South Suburbs","South Suburbs","48.856614","2.352222",83951,"Faculty of Pharmacy, University Paris Sud","www.lspe.u-psud.fr/"
"TR002","TR","Istanbul I","Catalca-Ahmediye","41.013","28.9748",69000,"Forensic Toxicology Labs. Institute of Forensic Sciences and Legal Medicine, Istanbul University-Cerrahpasa","https://adlitip.istanbulc.edu.tr/tr/_"
"BE008","BE","Merchtem","Merchtem","50.95842","4.23244",16200,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE011","BE","Ruisbroek (Puurs)","Ruisbroek","50.79035","4.29862",36000,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"DE013","DE","Frankfurt (3)","Frankfurt 3 plants","50.110922","8.682127",1118389,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DE020","DE","Hannover (2)","Hannover 2 plants","52.375892","9.73201",740000,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DE024","DE","Mainz","Mainz","49.992862","8.247253",200344,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DE029","DE","Rostock","Rostock","54.092441","12.099147",237316,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DE033","DE","Stuttgart","Stuttgart","48.775846","9.182932",602000,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"FR004","FR","Fort-de-France P","Pointe des Nègres","14.616065","-61.05878",19000,"Faculty of Pharmacy, University Paris Sud","www.lspe.u-psud.fr/"
"NL003","NL","Nieuwegein Ijssel.","RWZI Nieuwegein","52.024821","5.091819",96000,"KWR","https://www.kwrwater.nl/en/"
"NL004","NL","Oudewater","RWZI Oudewater","52.024163","4.868417",10110,"KWR","https://www.kwrwater.nl/en/"
"BE001","BE","Antwerp Deurne","Deurne","51.22","4.46",213876,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"CH005","CH","Lugano","Bioggio","46.02","8.91",103561,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management","N/A"
"ES005","ES","Molina de Segura","N/A","38.051681","-1.207326",70709,"Research Institute for Pesticides and Water, University Jaume I","www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/"
"AT007","AT","Klosterneuburg","Klosterneuburg","48.309866","16.323772",30000,"Insitute for Water quality, Resource and Waste management","http//iwr.tuwien.ac.at/water/"
"BE006","BE","Geraardsbergen","Geraardsbergen","50.77","3.88",29047,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE009","BE","Ninove","Ninove","50.85","4.03",36179,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"CH004","CH","Lausanne","STEP Vidy","46.52","6.63",220000,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management","N/A"
"GR003","GR","Mytilene","N/A","39.106738","26.557275",26000,"Laboratory of Analytical Chemistry, University of Athens","N/A"
"MT001","MT","Malta","N/A","35.937496","14.375416",296297,"N/A","N/A"
"GR004","GR","Thessaloniki","N/A","40.640063","22.944419",850000,"Laboratory of Analytical Chemistry, University of Athens","N/A"
"BA001","BA","Sarajevo","Butile","43.87","18.29",130000,"Hydro-Engineering Institute Sarajevo","http//www.heis.com.ba/"
"RO001","RO","Cluj Napoca","N/A","46.7780991","23.6135998",350000,"Toxicological Center, University of Antwerp","https//www.uantwerpen.be/en/rg/tox/"
"RS001","RS","Belgrade","Sewer system Usce (outlet in Danube river)","44.8130989","20.4632607",284347,"N/A","N/A"
"SE002","SE","Gothenburg","Ryaverket","57.6828995","12.0728998",664441,"Department of Chemistry, Umea University","http//www.chemistry.umu.se/english/"
"SE007","SE","Umea","Ons avloppsreningsverk","63.8181992","20.3150005",115800,"Department of Chemistry, Umea University","http//www.chemistry.umu.se/english/"
